DATE,CLVMNACSCAB1GQFR
1980-01-01,276305.4
1980-04-01,274079.7
1980-07-01,274494.1
1980-10-01,274065.5
1981-01-01,275084.3
1981-04-01,277164.3
1981-07-01,279025.6
1981-10-01,280707.9
1982-01-01,282831.2
1982-04-01,284835.4
1982-07-01,284669.7
1982-10-01,286374.2
1983-01-01,287475.0
1983-04-01,287632.2
1983-07-01,288094.0
1983-10-01,289886.9
1984-01-01,291177.6
1984-04-01,292563.7
1984-07-01,294455.0
1984-10-01,294183.7
1985-01-01,294921.1
1985-04-01,297374.1
1985-07-01,299075.6
1985-10-01,300586.0
1986-01-01,301514.5
1986-04-01,304822.9
1986-07-01,306477.3
1986-10-01,306860.1
1987-01-01,307112.8
1987-04-01,311684.7
1987-07-01,313781.2
1987-10-01,318408.8
1988-01-01,322497.3
1988-04-01,325319.6
1988-07-01,329436.5
1988-10-01,332154.1
1989-01-01,336474.9
1989-04-01,340228.8
1989-07-01,344062.3
1989-10-01,348676.4
1990-01-01,349414.5
1990-04-01,351291.8
1990-07-01,353574.4
1990-10-01,353404.7
1991-01-01,354334.5
1991-04-01,355643.0
1991-07-01,357084.8
1991-10-01,358808.0
1992-01-01,361374.3
1992-04-01,361780.0
1992-07-01,361364.0
1992-10-01,361432.6
1993-01-01,359479.9
1993-04-01,359496.9
1993-07-01,359937.3
1993-10-01,360884.3
1994-01-01,363333.7
1994-04-01,366979.5
1994-07-01,370294.2
1994-10-01,373784.8
1995-01-01,375551.1
1995-04-01,378013.6
1995-07-01,378604.3
1995-10-01,378454.7
1996-01-01,381085.5
1996-04-01,381820.4
1996-07-01,383294.3
1996-10-01,384768.6
1997-01-01,386411.1
1997-04-01,390467.0
1997-07-01,394349.6
1997-10-01,398246.6
1998-01-01,402063.7
1998-04-01,404942.8
1998-07-01,407037.3
1998-10-01,409827.7
1999-01-01,412647.5
1999-04-01,415323.3
1999-07-01,421441.1
1999-10-01,427409.9
2000-01-01,431855.4
2000-04-01,436284.2
2000-07-01,439762.9
2000-10-01,442147.9
2001-01-01,444819.7
2001-04-01,444901.5
2001-07-01,447343.8
2001-10-01,445149.1
2002-01-01,447893.7
2002-04-01,450219.3
2002-07-01,451912.9
2002-10-01,452223.8
2003-01-01,453732.3
2003-04-01,451639.0
2003-07-01,456527.0
2003-10-01,458195.4
2004-01-01,462994.4
2004-04-01,465212.3
2004-07-01,466977.3
2004-10-01,470994.8
2005-01-01,472418.9
2005-04-01,473447.8
2005-07-01,476989.8
2005-10-01,480225.7
2006-01-01,484327.6
2006-04-01,490244.7
2006-07-01,490768.9
2006-10-01,493527.1
2007-01-01,498440.2
2007-04-01,501870.3
2007-07-01,503439.3
2007-10-01,503775.0
2008-01-01,507960.4
2008-04-01,504660.6
2008-07-01,503284.5
2008-10-01,496959.5
2009-01-01,487639.3
2009-04-01,488491.4
2009-07-01,488803.7
2009-10-01,492939.4
2010-01-01,494408.7
2010-04-01,496817.3
2010-07-01,499910.1
2010-10-01,502779.6
2011-01-01,509619.1
2011-04-01,509710.2
2011-07-01,511202.3
2011-10-01,512870.6
2012-01-01,512989.3
2012-04-01,510734.9
2012-07-01,512119.7
2012-10-01,512282.7
2013-01-01,512502.9
2013-04-01,516919.7
2013-07-01,516677.9
2013-10-01,520671.7
2014-01-01,520121.9
2014-04-01,520821.8
2014-07-01,523969.9
2014-10-01,522830.2
2015-01-01,525545.3
2015-04-01,526267.8
2015-07-01,527609.5
2015-10-01,528997.4
2016-01-01,530909.0
2016-04-01,529626.4
2016-07-01,530276.9
2016-10-01,533051.1
2017-01-01,536597.6
2017-04-01,541139.0
2017-07-01,545530.9
2017-10-01,548640.4
2018-01-01,548304.0
2018-04-01,549506.6
2018-07-01,552502.0
2018-10-01,556375.7
2019-01-01,561513.3
2019-04-01,564602.7
2019-07-01,564762.9
2019-10-01,561717.2
2020-01-01,532811.2
2020-04-01,467746.8
2020-07-01,540675.7
2020-10-01,540610.6
2021-01-01,541739.8
2021-04-01,549225.5
2021-07-01,564449.9
2021-10-01,568291.9
2022-01-01,567455.1
2022-04-01,569542.0
2022-07-01,572368.5
2022-10-01,572529.9
2023-01-01,573112.2
2023-04-01,577274.3
2023-07-01,577588.2
2023-10-01,579497.6
2024-01-01,580404.6
