Direction,Route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1980 [Note 1],1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,"2020  [r]
[Note 4, 5]","2021 [r]
 [Note 5]",2022
Imports,International,153.4,157.1,161.7,175.6,185.5,196.2,202.0,205.0,219.5,211.1,175.3,180.0,158.2,152.8,157.1,131.2,133.4,125.7,122.9,121.9,143.5,143.3,150.6,154.9,169.7,174.6,183.5,182.1,182.6,189.5,190.1,190.3,192.7,205.7,209.3,203.6,220.9,238.4,220.9,229.3,250.4,262.3,278.9,273.3,266.0,230.2,244.0,259.0,257.9,271.5,269.6,254.1,243.4,248.3,257.4,257.5,228.2,236.2,247.4
Exports,International,35.7,38.2,38.0,41.7,43.3,48.0,48.7,49.7,53.5,51.1,50.2,62.8,77.6,90.7,107.5,117.1,117.5,126.1,130.7,136.8,142.1,148.2,150.7,151.0,142.2,127.5,136.2,143.2,150.2,157.5,179.0,178.8,175.8,179.3,181.7,184.4,193.1,180.4,178.2,174.0,169.6,163.7,160.6,164.5,156.1,139.0,146.9,139.8,135.1,135.7,135.0,134.7,137.6,138.5,132.3,128.7,120.5,111.2,113.0
All,International,189.1,195.3,199.7,217.3,228.8,244.2,250.7,254.7,273.0,262.2,225.5,242.8,235.8,243.5,264.6,248.3,250.8,251.8,253.6,258.7,285.5,291.5,301.3,305.9,311.9,302.1,319.6,325.3,332.8,346.9,369.1,369.1,368.5,385.0,390.9,387.9,414.0,418.7,399.1,403.3,420.0,426.0,439.5,437.9,422.1,369.2,391.0,398.8,393.0,407.2,404.6,388.8,380.9,386.8,389.7,386.2,348.7,347.4,360.4
Inwards,Domestic: Coastwise,54.1,54.2,53.1,51.1,52.1,51.8,46.0,45.4,46.4,48.5,41.5,41.1,44.1,47.5,52.7,57.4,64.8,60.2,67.2,68.9,64.2,63.2,60.9,59.8,66.3,64.1,61.0,61.7,58.2,59.4,63.3,67.9,69.9,67.5,70.7,67.0,57.4,57.3,57.8,56.9,58.3,61.4,56.7,57.6,56.2,53.2,50.3,49.4,43.0,39.0,40.5,43.7,42.2,35.4,36.6,38.5,36.3,38.6,40.8
Outwards,Domestic: Coastwise,60.4,59.7,56.9,56.6,56.9,56.2,52.0,51.8,57.3,56.9,48.9,50.9,56.3,62.2,67.0,67.7,69.8,68.2,71.3,71.3,66.3,66.3,63.7,61.2,65.1,64.8,61.5,62.8,60.8,62.0,64.8,72.1,75.3,72.0,71.9,71.1,61.9,54.9,57.3,56.1,59.7,64.9,56.5,57.2,57.9,54.3,50.2,49.8,43.5,39.2,40.3,45.6,40.0,37.5,36.4,38.1,36.1,39.8,39.7
All,Domestic: Coastwise,114.5,113.9,110.0,107.7,109.0,108.0,98.0,97.2,103.7,105.4,90.4,92.0,100.4,109.7,119.7,125.1,134.6,128.4,138.5,140.1,130.5,129.6,124.6,121.0,131.3,128.9,122.3,124.4,119.0,121.5,128.1,140.0,145.2,139.5,142.7,138.1,119.3,112.2,115.2,113.0,117.9,126.2,113.2,114.8,114.1,107.6,100.5,99.2,86.5,78.2,80.8,89.3,82.2,73.0,73.0,76.6,72.4,78.5,80.5
Inwards,Domestic: One Port,7.2,6.8,6.6,7.8,8.3,9.2,10.9,16.0,13.9,13.1,13.0,14.4,21.7,26.5,29.5,24.6,24.6,22.3,24.6,26.6,28.5,28.1,27.2,31.8,34.2,35.0,34.1,29.8,29.0,23.8,28.6,26.7,25.1,21.8,26.1,36.4,38.0,33.3,41.7,37.2,33.4,30.4,29.0,26.9,24.1,20.3,18.3,19.2,18.6,15.5,15.4,16.4,17.6,17.2,16.1,16.1,14.6,17.0,16.0
Outwards,Domestic: One Port,8.5,8.5,8.5,8.5,8.5,8.6,8.6,8.8,8.9,10.1,11.2,11.2,12.3,12.8,12.9,14.0,14.0,13.6,13.4,13.0,12.3,13.7,13.4,12.9,14.6,14.8,15.9,15.1,14.9,14.0,12.4,12.4,12.4,12.2,8.8,3.2,1.7,2.2,2.0,1.7,1.4,1.9,1.6,2.0,1.9,3.8,2.1,2.3,2.8,2.5,2.4,2.2,3.4,4.9,4.4,3.6,3.2,2.7,2.0
All,Domestic: One Port,15.7,15.3,15.1,16.3,16.8,17.8,19.5,24.8,22.8,23.2,24.2,25.6,34.0,39.3,42.4,38.6,38.6,35.8,37.9,39.6,40.9,41.8,40.6,44.7,48.8,49.8,50.0,44.9,43.9,37.8,41.0,39.1,37.5,34.0,34.9,39.6,39.8,35.4,43.7,39.0,34.8,32.3,30.6,28.9,26.0,24.2,20.4,21.5,21.4,17.9,17.8,18.6,20.9,22.0,20.6,19.7,17.8,19.7,18.0
