Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Dead weight tons in thousands Footnote,Dead weight tons in thousands Missing value,Percentage of total fleet,Percentage of total fleet Footnote,Percentage of total fleet Missing value,Number of ships,Number of ships Footnote,Number of ships Missing value
2014,028,"Antigua and Barbuda",0000,"World",12943.856,,,100,,,1180,,
2014,028,"Antigua and Barbuda",5100,"Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5110,"Northern Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5120,"Sub-Saharan Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5121,"Eastern Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5122,"Middle Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5123,"Southern Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5124,"Western Africa",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5200,"Americas",34.452,,,0.26616,,,9,,
2014,028,"Antigua and Barbuda",5210,"Northern America",30.852,,,0.23835,,,8,,
2014,028,"Antigua and Barbuda",5220,"Latin America and the Caribbean",3.6,,,0.02781,,,1,,
2014,028,"Antigua and Barbuda",5221,"Caribbean",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5222,"Central America",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5223,"South America",3.6,,,0.02781,,,1,,
2014,028,"Antigua and Barbuda",5300,"Asia",148.757,,,1.14925,,,18,,
2014,028,"Antigua and Barbuda",5310,"Central Asia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5330,"Eastern Asia",79.569,,,0.61472,,,8,,
2014,028,"Antigua and Barbuda",5350,"South-eastern Asia",24.891,,,0.1923,,,3,,
2014,028,"Antigua and Barbuda",5320,"Southern Asia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",5340,"Western Asia",44.297,,,0.34222,,,7,,
2014,028,"Antigua and Barbuda",5400,"Europe",12734.574,,,98.38316,,,1147,,
2014,028,"Antigua and Barbuda",5410,"Eastern Europe",67.889,,,0.52449,,,12,,
2014,028,"Antigua and Barbuda",5420,"Northern Europe",289.843,,,2.23923,,,52,,
2014,028,"Antigua and Barbuda",5430,"Southern Europe",36.688,,,0.28344,,,9,,
2014,028,"Antigua and Barbuda",5440,"Western Europe",12340.154,,,95.336,,,1074,,
2014,028,"Antigua and Barbuda",5500,"Oceania",15.28,,,0.11805,,,2,,
2014,028,"Antigua and Barbuda",0000u,"World n.e.s.",10.793,,,0.08338,,,4,,
2014,028,"Antigua and Barbuda",0001,"Individual economies",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2014,028,"Antigua and Barbuda",008,"Albania",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",012,"Algeria",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",024,"Angola",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",660,"Anguilla",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",028,"Antigua and Barbuda",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",032,"Argentina",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",533,"Aruba",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",036,"Australia",12.68,,,0.09796,,,1,,
2014,028,"Antigua and Barbuda",040,"Austria",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",031,"Azerbaijan",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",044,"Bahamas",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",048,"Bahrain",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",050,"Bangladesh",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",052,"Barbados",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",056,"Belgium",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",084,"Belize",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",204,"Benin",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",060,"Bermuda",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",068,"Bolivia (Plurinational State of)",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",076,"Brazil",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",092,"British Virgin Islands",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",096,"Brunei Darussalam",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",100,"Bulgaria",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",132,"Cabo Verde",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",116,"Cambodia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",120,"Cameroon",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",124,"Canada",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",136,"Cayman Islands",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",152,"Chile",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",156,"China",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",344,"China, Hong Kong SAR",79.569,,,0.61472,,,8,,
2014,028,"Antigua and Barbuda",446,"China, Macao SAR",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",158,"China, Taiwan Province of",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",170,"Colombia",3.6,,,0.02781,,,1,,
